"","COVID.19.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Pneumonia..Influenza..or.COVID.19.Deaths","Influenza.Deaths"
"315",4563,3476,1670,6418,58
"316",4078,6024,1752,8627,280
"317",2105,3176,948,4464,134
"318",125,131,50,217,11
"319",144,164,61,259,12
"320",368,532,170,774,44
"321",281,430,136,612,37
"322",532,810,238,1129,27
"323",616,955,279,1316,24
"324",456,727,209,995,22
"325",1973,2848,804,4163,146
"326",59,106,23,154,12
"327",76,111,33,167,13
"328",219,383,105,528,31
"329",169,314,80,426,23
"330",392,595,195,831,39
"331",523,760,209,1099,25
"332",776,985,271,1520,30
"333",1546,1304,780,2100,31
"334",856,763,471,1160,13
"335",690,541,309,940,18
"336",15932,13314,7135,22428,319
"337",8202,7306,3997,11665,155
"338",180,240,77,358,15
"339",248,270,115,418,15
"340",1002,1057,493,1605,39
"341",831,892,413,1342,32
"342",1926,1832,990,2810,42
"343",2646,2230,1341,3563,29
"344",2439,1906,1091,3274,20
"345",7730,6008,3138,10763,164
"346",113,148,49,231,19
"347",138,193,59,284,12
"348",579,731,296,1042,28
"349",491,607,258,862,22
"350",1196,1150,589,1787,30
"351",2258,1728,947,3077,39
"352",3572,2216,1251,4578,41
"353",5124,5096,1963,8390,144
"354",2764,2800,1131,4494,65
"355",131,136,55,222,11
"356",420,441,155,728,24
"357",345,363,123,599,15
"358",687,705,285,1120,14
"359",838,848,353,1347,15
"360",2360,2296,832,3896,79
"361",281,369,116,549,17
"362",226,307,95,452,16
"363",507,562,192,894,18
"364",662,628,240,1064,17
"365",825,639,256,1224,17
"366",1737,2180,590,3419,93
"367",926,1179,344,1816,55
"368",166,177,57,298,12
"369",170,273,73,384,14
"370",292,371,113,560,10
"371",266,317,90,503,10
"372",811,1001,246,1603,38
"373",230,258,68,431,11
"374",21237,15158,8248,28469,334
"375",10579,8196,4545,14381,158
"376",349,263,136,487,11
"377",1350,1099,592,1893,39
"378",1114,928,501,1568,30
"379",2338,1936,1096,3210,32
"380",3148,2549,1440,4301,45
"381",3466,2355,1304,4547,32
"382",10658,6961,3703,14087,176
"383",125,138,55,218,10
"384",750,731,325,1188,35
"385",622,609,271,990,32
"386",1557,1282,714,2147,22
"387",2644,1800,1025,3469,51
"388",5572,2982,1578,7031,56
"389",2012,1373,865,2552,33
"390",964,710,448,1237,12
"391",1048,663,417,1315,21
"392",5521,5376,2510,8531,151
"393",2895,2911,1363,4513,74
"394",121,151,51,231,11
"395",456,542,216,802,20
"396",390,444,188,658,12
"397",736,738,358,1133,17
"398",961,897,457,1418,19
"399",2626,2465,1147,4018,77
"400",69,84,31,135,14
"401",84,114,42,167,12
"402",353,393,161,605,20
"403",301,317,134,498,14
"404",573,556,281,857,11
"405",726,662,330,1075,17
"406",895,749,337,1320,13
"407",1778,1300,751,2359,35
"408",949,759,442,1284,21
"409",829,541,309,1075,14
"410",9401,10259,4819,15073,242
"411",5126,5664,2777,8129,123
"412",202,214,93,334,11
"413",256,293,129,429,10
"414",840,1022,468,1428,37
"415",673,821,381,1140,29
"416",1357,1505,766,2133,38
"417",1643,1742,895,2509,20
"418",1068,1139,550,1668,13
"419",4275,4595,2042,6944,119
"420",135,188,76,266,19
"421",169,228,99,310,12
"422",571,749,336,1004,21
"423",471,611,279,818,16
"424",885,1042,438,1513,25
"425",1253,1308,600,1990,30
"426",1411,1281,588,2123,19
"427",37273,34101,20128,51790,580
"428",21492,19411,11818,29357,292
"429",1559,1170,758,1999,29
"430",652,517,316,863,10
"431",1803,1373,936,2269,30
"432",4759,4012,2559,6291,83
"433",3703,3161,1983,4944,67
"434",5602,5179,3266,7574,65
"435",5639,5298,3201,7799,71
"436",3791,3588,1983,5430,35
"437",15780,14689,8309,22432,288
"438",788,741,417,1142,31
"439",364,346,187,539,17
"440",875,837,482,1262,32
"441",2635,2559,1488,3776,72
"442",2101,2050,1202,2997,50
"443",3563,3414,2038,4998,62
"444",4108,3875,2224,5810,58
"445",4595,4001,2097,6548,52
"446",1762,1769,744,2841,54
"447",1049,1033,486,1632,36
"448",173,175,84,275,11
"449",713,736,258,1209,18
"450",158,319,41,454,18
